temp,store_name,open_hour,close_hour,weekday
1,갈현노인복지관,11:00,13:00,"2,3,4,5,6,7"
2,강동노인종합복지관,11:30,12:30,"2,3,4,5,6"
3,강동종합사회복지관,11:30,12:30,"2,3,4,5,6"
4,명성복지재단 가나안의 집,11:30,12:30,"2,3,4,5,6"
5,해공노인복지관,11:30,12:30,"2,3,4,5,6"
6,등촌1종합사회복지관,11:10,12:30,"2,3,4,5,6,7"
7,등촌4종합사회복지관,11:15,12:15,"2,3,4,5,6,7"
8,등촌7종합사회복지관,11:20,12:00,"2,3,4,5,6,7"
9,등촌9종합사회복지관,11:00,12:00,"2,3,4,5,6,7"
10,가양4종합사회복지관,11:00,12:30,"2,3,4,5,6,7"
11,가양5종합사회복지관,11:30,12:30,"2,3,4,5,6,7"
12,가양7종합사회복지관,11:20,12:30,"2,3,4,5,6,7"
13,방화2종합사회복지관,11:15,12:15,"2,3,4,5,6,7"
14,방화6종합사회복지관,11:00,12:00,"2,3,4,5,6,7"
15,방화11종합사회복지관,11:00,12:00,"2,3,4,5,6,7"
16,발산어르신행복센터,11:20,12:20,"2,3,4,5,6,7"
17,서울시립강서노인종합복지관,11:30,13:00,"2,3,4,5,6,7"
18,강서구립봉제산노인복지센터,11:30,12:30,"2,3,4,5,6,7"
19,강서구립곰달래어르신복지센터,11:30,13:00,"2,3,4,5,6,7"
20,동대문노인종합복지관,11:30,13:00,"2,3,4,5,6,7"
21,장안종합사회복지관,11:30,12:30,"2,3,4,5,6"
22,다일복지재단,11:00,12:30,"2,3,4,5,6,7"
23,서울특별시농아인협회강북구지부,12:00,13:00,"2,3,4,5,6,7"
24,e한우리 봉사회,12:00,13:00,"2,3,4,5,6,7"
25,관악노인종합복지관,11:20,12:40,"2,3,4,5,6"
25,관악노인종합복지관,11:10,12:10,7
26,관악산무료급식소,10:30,12:00,"2,3,4,5,6"
27,서울YWCA봉천종합사회복지관,11:00,12:00,"2,3,4,5,6,7"
28,선의관악종합사회복지관,11:30,12:30,"2,3,4,5,6,7"
29,성민종합사회복지관,11:15,12:00,"2,3,4,5,6,7"
30,신림종합사회복지관,11:00,12:00,"2,3,4,5,6,7"
31,중앙사회복지관,11:00,13:00,"2,3,4,5,6,7"
32,응암노인복지관,11:00,13:00,"2,3,4,5,6,7"
33,신사노인복지관,11:00,13:00,"2,3,4,5,6,7"
34,불광노인복지관,11:00,13:00,"2,3,4,5,6,7"
35,대조노인복지관,11:00,13:00,"2,3,4,5,6,7"
36,신사종합사회복지관,11:00,13:00,"2,3,4,5,6,7"
37,녹번종합사회복지관,11:00,13:00,"2,3,4,5,6,7"
38,은평종합사회복지관,11:00,13:00,"2,3,4,5,6,7"
39,개웅교회,11:30,12:30,"1,3"
40,중국동포의집,12:00,13:00,"1,2,3,4,5,6,7"
41,한국지체장애인협회 구로구지회,11:00,11:30,"3,5"
42,한국장애인문화인쇄협회,12:00,13:00,"2,3,4,5,6"
43,보훈경로당,12:00,13:00,"2,3,4,5,6"
44,성북시각장애인복지관,11:30,13:00,"2,3,4,5,6"
45,월곡종합사회복지관,11:20,13:00,"2,3,4,5,6"
46,생명의전화종합사회복지관,10:00,12:00,"2,3,4,5,6"
47,장위종합사회복지관,11:00,12:30,"2,3,4,5,6"
48,정릉종합사회복지관,11:30,13:00,"2,3,4,5,6"
49,길음종합사회복지관,11:00,12:30,"2,3,4,5,6"
50,성북노인종합복지관,11:30,13:00,"2,3,4,5,6"
51,은평노인종합복지관,11:00,13:00,"2,3,4,5,6,7"
52,역촌노인복지관,11:00,13:00,"2,3,4,5,6,7"
53,따스한채움터,8:00,10:00,"1,2,3,4,5,6,7"
53,따스한채움터,12:00,14:00,"1,2,3,4,5,6,7"
53,따스한채움터,17:00,19:00,"1,2,3,4,5,6,7"
54,인정만나샘,12:00,13:00,"1,2,3,4,5,6,7"
54,인정만나샘,18:00,19:00,"1,2,3,4,5,6,7"
55,참좋은친구들,6:00,7:30,"1,3,4,5,6"
55,참좋은친구들,11:00,12:30,"1,3,4,5,6"
55,참좋은친구들,18:30,19:30,"1,3,4,5,6"
56,소중한사람들,11:30,12:30,"1,2,3,4,5,6,7"
57,창동종합사회복지관,12:00,13:00,"2,3,4,5,6,7"
58,도봉서원종합사회복지관,12:00,13:00,"2,3,4,5,6,7"
59,창동노인복지센터,12:00,13:00,"2,3,4,5,6,7"
60,방학동노인복지센터,12:00,13:00,"2,3,4,5,6,7"
61,성동장애인무료급식소,11:00,13:00,"2,3,4,5,6"
62,성동종합사회복지관,11:00,13:00,"2,3,4,5,6"
63,성수종합사회복지관,11:00,12:00,"2,3,4,5,6,7"
64,옥수종합사회복지관,11:00,13:00,"2,3,4,5,6"
65,다시서기종합지원센터,18:30,19:30,"1,2,3,4,5,6,7"
66,도봉동노인복지센터,12:00,13:00,"2,3,4,5,6,7"
67,쌍문동노인복지센터,12:00,13:00,"2,3,4,5,6,7"
68,도봉노인종합복지관,12:00,13:00,"2,3,4,5,6,7"
69,신생명나무교회,11:30,13:00,"2,3,4,5,6"
70,요셉의원,14:30,17:00,5
71,영광교회,6:30,7:30,"1,4,5,6"
72,한국기독교복지협회,20:00,21:00,"2,3,4,5,6,7"
73,광야교회,12:00,13:00,"1,2,3,4,5,6,7"
73,광야교회,18:00,19:00,"1,2,3,4,5,6,7"
73,광야교회,19:30,20:20,"1,2,3,4,5,6,7"
74,토마스의집,11:40,14:30,"2,3,4,5,6"
75,자양종합사회복지관,11:30,13:00,"2,3,4,5,6,7"
76,광진노인종합복지관,11:30,13:00,"2,3,4,5,6"
77,용마경로복지센터,11:30,13:00,"2,3,4,5,6"
78,신정종합사회복지관 경로식당,11:30,13:00,"2,3,4,5,6,7"
79,목동종합사회복지관 경로식당,11:30,13:00,"2,3,4,5,6,7"
80,신월종합사회복지관 경로식당,11:30,13:00,"2,3,4,5,6,7"
81,목동실버복지문화센터 경로식당,11:30,13:00,"2,3,4,5,6,7"
82,해맞이경로식당,11:30,13:00,"2,3,4,5,6,7"
83,성동노인종합복지관,11:30,13:00,"2,3,4,5,6,7"
84,면목종합사회복지관,11:30,12:30,"2,3,4,5,6,7"
85,북가좌2동노인복지센터,10:30,12:00,"2,3,4,5,6,7"
86,효림재가노인지원센터,10:30,12:00,"3,6"
87,인왕어르신복지센터,10:30,12:00,"2,3,4,5,6,7"
88,동서울 중앙교회,11:30,12:30,"2,3,4,5,6,7"
89,사랑의 집,12:00,13:00,"2,3,4,5,6"
90,중화동교회,11:30,12:30,"2,3,5,6,7"
91,나눔의 집,12:00,13:00,"2,3,4,5,6"
92,구립중화경로복지관,11:00,12:00,"2,3,4,5,6"
93,구립신내노인종합복지관,11:30,13:00,"2,3,4,5,6,7"
94,유린원광종합사회복지관,11:30,12:30,"2,3,4,5,6"
95,신내종합사회복지관,12:00,13:00,"2,3,4,5,6"
96,시립대종합사회복지관,11:30,12:30,"2,3,4,5,6"
97,시립중랑노인종합복지관,11:30,12:30,"2,3,4,5,6,7"
98,마포어르신돌봄통합센터,0:00,23:59,"2,3,4,5,6"
99,용강노인복지관,11:30,13:00,"2,3,4,5,6"
100,아현노인복지센터,11:30,12:30,"2,3,4,5,6"
101,이대성산종합사회복지관,10:50,11:50,"2,3,4,5,6"
102,시립마포노인종합복지관,11:15,13:00,"2,3,4,5,6"
103,우리마포복지관,11:30,13:00,"2,3,4,5,6"
104,아현실버복지관,11:20,12:30,"2,3,4,5,6"
105,마포노인복지센터,0:00,23:59,"2,3,4,5,6"
106,보사노인복지센터,0:00,23:59,"2,3,4,5,6"
107,홍은종합사회복지관,10:30,12:00,"1,2,3,4,5,6,7"
108,이대종합사회복지관,10:30,12:00,"1,2,3,4,5,6,7"
109,연희노인여가복지시설,10:30,12:00,"1,2,3,4,5,6,7"
110,서대문노인종합복지관,10:30,12:00,"1,2,3,4,5,6,7"
111,서대문종합사회복지관,10:30,12:00,"1,2,3,4,5,6,7"
112,자비의 집,11:30,12:30,"2,3,4,5,6,7"
113,강북장애인종합복지관,11:40,13:00,"2,3,4,5,6,7"
114,시립강북노인종합복지관,11:00,12:30,"2,3,4,5,6,7"
115,삼양동종합복지센터,11:30,12:30,"2,3,4,5,6,7"
116,운가자비원,11:30,12:10,"2,3,4,5,6,7"
117,번동5단지종합사회복지관,11:30,12:00,"2,3,4,5,6,7"
118,구세군강북종합사회복지관,11:00,12:00,"2,3,4,5,6,7"
119,번동2단지종합사회복지관,11:30,12:00,"2,3,4,5,6,7"
120,강남노인종합복지관,11:30,13:00,"2,3,4,5,6"
121,개포경로당,11:30,12:30,"2,3,4,5,6"
122,대치1단지(일원2 경로당),11:30,12:30,"2,3,4,5,6"
