temp,store_name,phone,ppl,open_hours,open_days,latitude,longitude,addr,extra_info,siteurl
1,갈현노인복지관,02-357-2640,만 60세이상 저소득어르신,11:00-13:00,월-토,37.62495566,126.918626,서울특별시 은평구 통일로89길12-6, , 
2,강동노인종합복지관,02-0442-1026,60세 이상의 결식노인,11:30-12:30,월-금,37.5522658,127.1546206,서울특별시 강동구 동남로71길 32-5, , 
3,강동종합사회복지관,02-0475-4585,60세 이상의 결식노인,11:30-12:30,월-금,37.54004284,127.1297914,서울특별시 강동구 진황도로23길 7, , 
4,명성복지재단 가나안의 집,02-0474-6900,60세 이상의 결식노인,11:30-12:30,월-금,37.54459763,127.1379691,서울특별시 강동구 천중로35길 73-7, , 
5,해공노인복지관,02-0478-0601,60세 이상의 결식노인,11:30-12:30,월-금,37.54620984,127.1317001,서울특별시 강동구 천중로17길 42-16, , 
6,등촌1종합사회복지관,02-2658-1010,"독거노인, 결식노인, 저소득층 노인",11:10-12:30,월-토,37.56538547,126.8422562,서울특별시 강서구 강서로 68길 36, , 
7,등촌4종합사회복지관,02-2658-8800,"독거노인, 결식노인, 저소득층 노인",11:15-12:15,월-토,37.56225807,126.8428966,서울특별시 강서구 공항대로 39길59, , 
8,등촌7종합사회복지관,02-2658-6521,"독거노인, 결식노인, 저소득층 노인",11:20-12:00,월-토,37.56079794,126.8508314,서울특별시 강서구 공항대로 43길 104, , 
9,등촌9종합사회복지관,02-2658-4127,"독거노인, 결식노인, 저소득층 노인",11:00-12:00,월-토,37.56195043,126.8502089,서울특별시 강서구 화곡로 63가길 92, , 
10,가양4종합사회복지관,02-2668-6689,"독거노인, 결식노인, 저소득층 노인",11:00-12:30,월-토,37.56593157,126.8520708,서울특별시 강서구 양천로57길 37, , 
11,가양5종합사회복지관,02-2668-4603,"독거노인, 결식노인, 저소득층 노인",11:30-12:30,월-토,37.5642551,126.8512878,서울특별시 강서구 양천로57길 36, , 
12,가양7종합사회복지관,02-2668-8600,"독거노인, 결식노인, 저소득층 노인",11:20-12:30,월-토,37.56173727,126.861591,서울특별시 강서구 허준로 209, , 
13,방화2종합사회복지관,02-2662-6661,"독거노인, 결식노인, 저소득층 노인",11:15-12:15,월-토,37.57424491,126.8201677,서울특별시 강서구 방화대로 48길 40, , 
14,방화6종합사회복지관,02-2666-6181,"독거노인, 결식노인, 저소득층 노인",11:00-12:00,월-토,37.57813762,126.8112059,서울특별시 강서구 금낭화로 23길 25, , 
15,방화11종합사회복지관,02-2661-0670,"독거노인, 결식노인, 저소득층 노인",11:00-12:00,월-토,37.57071896,126.8057278,서울특별시 강서구 개화동로21길 4, , 
16,발산어르신행복센터,02-2663-4603,"독거노인, 결식노인, 저소득층 노인",11:20-12:20,월-토,37.57071896,126.8057278,서울특별시 강서구 개화동로21길 4, , 
17,서울시립강서노인종합복지관,02-3664-0322,"독거노인, 결식노인, 저소득층 노인",11:30-13:00,월-토,37.55812319,126.8475501,서울특별시 강서구 화곡로61길 85, , 
18,강서구립봉제산노인복지센터,02-2605-1553,"독거노인, 결식노인, 저소득층 노인",11:30-12:30,월-토,37.54152453,126.8514084,서울특별시 강서구 초록마을로 15길 12, , 
19,강서구립곰달래어르신복지센터,02-2699-8264,"독거노인, 결식노인, 저소득층 노인",11:30-13:00,월-토,37.5327772,126.8471203,서울특별시 강서구 강서로5길 50. 3층, , 
20,동대문노인종합복지관,02-963-0565,저소득 어르신 급식지원사업 선정 대상자,11:30-13:00,월-토,37.58724828,127.0500258,서울특별시 동대문구 제기로33길25(청량리동), , 
21,장안종합사회복지관,02-2242-7564,저소득 어르신 급식지원사업 선정 대상자,11:30-12:30,월-금,37.56795185,127.0661722,서울특별시 동대문구 한천로18길48(장안동), , 
22,다일복지재단,02-2214-0365,저소득 어르신 급식지원사업 선정 대상자,11:00-12:30,월-토,37.57670362,127.0455002,서울특별시 동대문구 황물로 8(답십리동), , 
23,서울특별시농아인협회강북구지부,02-990-0872,"기초생활수급자, 차상위 계층 및 저소득 독거어르신",12:00-13:00,월-토,37.6386492,127.0278887,서울특별시 강북구 한천로 131길 7, , 
24,e한우리 봉사회,02-991-7909,"기초생활수급자, 차상위 계층 및 저소득 독거어르신",12:00-13:00,월-토,37.643259,127.023371,서울특별시 강북구 한천로 150길 12, , 
25,관악노인종합복지관,02-888-6144,만 60세 이상 저소득 어르신,"평일11:20-12:40, 토 11:10-12:10",월-토,37.48436167,126.9480697,서울특별시 관악구 봉천로 41길 33(중앙동 중앙사회복지관), , 
26,관악산무료급식소,02-888-6145,만 70세 이상 저소득 어르신,10:30-12:00,월-금,37.4648376,126.9198595,서울특별시 관악구 난곡로 110, , 
27,서울YWCA봉천종합사회복지관,02-870-4457,만 60세 이상 저소득 어르신,11:00-12:00,월-토,37.46678996,126.9312404,서울특별시 관악구 신림동 호암로 549, , 
28,선의관악종합사회복지관,02-886-9941,만 60세 이상 저소득 어르신,11:30-12:30,월-토,37.491563,126.945564,서울특별시 관악구 양녕로 16길 44-9(봉천동 선의관악종합사회복지관), , 
29,성민종합사회복지관,02-876-0900,만 60세 이상 저소득 어르신,11:15-12:00,월-토,37.48668511,126.9575761,서울특별시 관악구 관악로 254(청림동 서울YWCA봉천종합사회복지관), , 
30,신림종합사회복지관,02-851-1767,만 60세 이상 저소득 어르신,11:00-12:00,월-토,37.464815,126.919828,서울특별시 관악구 대학동 210-4,임시휴무, 
31,중앙사회복지관,02-872-5802,만 60세 이상 저소득 어르신,11:00-13:00,월-토,37.49304069,126.9263301,서울특별시 관악구 보라매로 35 (관악노인종합복지관), , 
32,응암노인복지관,02-355-2997,만 60세이상 저소득어르신,11:00-13:00,월-토,37.59453836,126.916808,서울특별시 은평구 응암로21가길5-1, , 
33,신사노인복지관,02-302-0303,만 60세이상 저소득어르신,11:00-13:00,월-토,37.59035031,126.908289,서울특별시 은평구 증산로15길47, , 
34,불광노인복지관,02-385-3222,만 60세이상 저소득어르신,11:00-13:00,월-토,37.61941254,126.9249009,서울특별시 은평구 연서로32길17-11, , 
35,대조노인복지관,02-6951-1172,만 60세이상 저소득어르신,11:00-13:00,월-토,37.61345215,126.9220484,서울특별시 은평구 역말로9길 27, , 
36,신사종합사회복지관,02-376-4141,만 60세이상 저소득어르신,11:00-13:00,월-토,37.59815825,126.9121456,서울특별시 은평구 은평로38, , 
37,녹번종합사회복지관,02-388-6341,만 60세이상 저소득어르신,11:00-13:00,월-토,37.60254229,126.9318785,서울특별시 은평구 은평로21길14-26, , 
38,은평종합사회복지관,02-307-1181,만 60세이상 저소득어르신,11:00-13:00,월-토,37.58510959,126.8992597,서울특별시 은평구 은평터널로48, , 
39,개웅교회,02-2614-3141,노숙자  노인,11:30-12:30,"화,일",37.4932077,126.8596492,서울특별시 구로구 개봉로20길 91-10, , 
40,중국동포의집,02-849-9988,외국인  노인,12:00-13:00,월-일,37.4786745,126.8959086,서울특별시 구로구 남부순환로 1307, , 
41,한국지체장애인협회 구로구지회,02-2682-7553,장애인 노인,11:00-11:30,"화,목",37.4807875,126.8898175,서울특별시 구로구 디지털로19길 24, , 
42,한국장애인문화인쇄협회,02-2683-0955,지역장애인 노약자,12:00-13:00,월-금,37.4961766,126.8561317,서울특별시 구로구 개봉로23길 10, , 
43,보훈경로당,02-865-0788,노인 국가유공자,12:00-13:00,월-금,37.4829857,126.8891741,"서울특별시 구로구 우마1다길 25, 1층", , 
44,성북시각장애인복지관,02-923-4555,60세이상 저소득어르신,11:30-,월-금,37.5953432,127.0192109,서울특별시 성북구 동소문로25가길 20, , 
45,월곡종합사회복지관,02-911-5511,60세이상 저소득어르신,11:20-,월-금,37.6089065,127.0375144,서울특별시 성북구 오패산로16길 23, , 
46,생명의전화종합사회복지관,02-916-9193,60세이상 저소득어르신,10:00-,월-금,37.6041995,127.0370454,서울특별시 성북구 오패산로 21, , 
47,장위종합사회복지관,02-918-3073,60세이상 저소득어르신,11:00-,월-금,37.61070518,127.0605064,서울특별시 성북구 돌곶이로22길 47, , 
48,정릉종합사회복지관,02-909-0434,60세이상 저소득어르신,11:30-,월-금,37.61120361,127.0012095,서울특별시 성북구 솔샘로5길 92, , 
49,길음종합사회복지관,02-985-0161,60세이상 저소득어르신,11:00-,월-금,37.60672761,127.0267919,서울특별시 성북구 삼양로2길 55, , 
50,성북노인종합복지관,02-929-7950,60세이상 저소득어르신,11:30-,월-금,37.59779187,127.0344106,서울특별시 성북구 종암로15길 10, , 
51,은평노인종합복지관,02-385-1351,만 60세이상 저소득어르신,11:00-13:00,월-토,37.63201412,126.9308177,서울특별시 은평구 연서로 415, , 
52,역촌노인복지관,02-385-9500,만 60세이상 저소득어르신,11:00-13:00,월-토,37.60326215,126.911323,서울특별시 은평구 연서로3나길11-30, , 
53,따스한채움터,02-166-7995,노숙인 및 주거취약계층,"08:00-10:00, 12:00-14:00, 17:00-19:00",월-일,37.55206991,126.9720746,서울특별시 용산구 한강대로 377, , 
