idx,area,name,addr1,addr2,zipcode,open_info,close_info,type,target1_code,target1_etc,target2_code,target2_etc,item_code,item_etc,lat,lng,sup_obj,sup_num,sup_item,storeType,img_src
348,강남구,삼청골명가 더수제비,서울 강남구 논현로132길 29,"1층 (논현동, 두원빌딩) 더 수제비",23,"11시~8시 (평일),  11시~6시 (토)",일요일,1,2,,,,99,"수제비, 들깨수제비,들깨감자옹심이,감",37.51555641,127.0327484,,동반 1인,"수제비, 들깨수제비,들깨감자옹심이,감",음식점,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
393,강남구,87.5 탭댄스 컴퍼니,서울 강남구 대치동 1016-4,지하 1층,23,오후1시 - 오후 10시,일요일 휴무,2,2,,"01,02",,2,,37.49751412,127.0593834,"결식아동,독거노인",동반 1인,,댄스학원,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/393/2088cc352fa64fcf8c83926bd66128ef.jpeg
748,강남구,피트니스플랜비,서울 강남구 도곡로 203,남자빌딩3층,23,월-금/08:00~23:00 토/10:00~23:00,일요일,3,,,,,,,37.49277901,127.0410676,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
729,강남구,바바에스안경원(대치점),서울 강남구 도곡로 449,아가도스빌딩 1층 바바에스 대치점,23,10:00 ~21:00,,3,1,,1,,2,,37.49883014,127.0595582,결식아동,아이 본인만,,안경점,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/729/26878573b6374758a4a60570e0683f88.jpg
872,강남구,한국전문연주자협회,서울 강남구 선릉로111길 33,,23,9~19,없음,2,3,,"01,02",,99,티켓,37.51007091,127.040892,"결식아동,독거노인",동반 2인,티켓,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/872/6765636cd25d451187d3c8cde27283fd.jpeg
454,강남구,우리카페,서울 강남구 언주로69길 16,101,23,10~21,연중무휴,1,2,,"01,02",,1,,37.49642535,127.0439124,"결식아동,독거노인",동반 1인,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/454/610b4ace017b4d89a36834dce81cf9cb.jpg
925,강남구,메이머스트,서울 강남구 테헤란로 143,3층,23,확인요망,,99,,,,,,,37.50061921,127.0348978,,,,회사 사무실,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
64,강남구,법률사무소 서화담,서울 강남구 학동로 335,다른타워 8층 법률사무소 서화담,23,09시 ~ 18시,"토요일, 일요일, 관공서 공휴일 등",99,1,,,,99,급식카드소지학생대상법률서비스,37.51698816,127.0396507,,아이 본인만,급식카드소지학생대상법률서비스,법률 서비스,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
624,강동구,통닭&강동생족발보쌈,서울 강동구 고덕로 390,102-2호 통닭&강동생족발보쌈,25,점심12시~밤12시,"연중무휴 , 포장 배달 전문점",1,99,포장 배달 전문점입니다.,"01,02,99",소방관은 전메뉴 50%할인,99,아동=통닭1마리무료&전메뉴50%할인,37.55662641,127.1687802,"결식아동,독거노인,소방관은 전메뉴 5%할인",포장 배달 전문점입니다.,아동=통닭1마리무료&전메뉴5%할인,음식점,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/624/2dd385a4bc3045379d557d332228aaca.jpg
833,강동구,벨라로그,서울 강동구 동남로82길 120,203호,25,10:00 ~ 20:00,공휴일 일요일,3,1,,1,,99,주니어컷,37.5600131,127.1637038,결식아동,아이 본인만,주니어컷,미용실,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/833/4e8e4eeca8ae457298ddcf6d808ef59c.jpeg
